DICIONARIO DE NICKS (B4): CORRELACAO ALFABETICA COM NOME REAL,,,
#,NICK (B4),NOME REAL,DOMINIO
126,DEC2,TOMOGRAFIA DE COLUNA TORACICA,EXAM
127,DECO,TOMOGRAFIA DE COLUNA CERVICAL,EXAM
128,DECR,TOMOGRAFIA DE CRANIO,EXAM
129,DEFI,ULTRASSOM DE FIGADO E VIAS BILIARES,EXAM
130,DEMA,ULTRASSOM DE MAMAS,EXAM
131,DEP1,TOMOGRAFIA DE PESCOCO,EXAM
132,DEPA,ULTRASSOM DE PARTES MOLES,EXAM
133,DEPE,TOMOGRAFIA DE PELVE,EXAM
134,DEPR,ULTRASSOM DE PROSTATA,EXAM
135,DERI,ULTRASSOM DE RINS E VIAS URINARIAS,EXAM
136,DESE,TOMOGRAFIA DE SEIOS DA FACE,EXAM
137,DESO,"DESOXICOLATO DE SODIO * (6,10%)",INJE
138,DET1,ULTRASSOM DE TIREOIDE COM DOPPLER,EXAM
139,DETI,ULTRASSOM DE TIREOIDE,EXAM
140,DETO,TOMOGRAFIA DE TORAX,EXAM
141,DHEA,DHEA PELLET,IMPL
142,DHES,DHEA S,EXAM
143,DHTX,DHT,EXAM
144,DIPI,DIPIRIDAMOL (10 MG),INJE
145,DMAE,DMAE (50 MG),INJE
146,DMSO,DMSO - DIMETILSULFOXIDO (4995 MG),INJE
147,DOPP,DOPPLER DE CAROTIDAS,EXAM
148,DOSS,DENSITOMETRIA OSSEA,EXAM
149,DRE1,FORMULA DRENAGEM E MODULACAO INFLAMATORIA,FORM
150,DREN,DRENAGEM INFLAMATORIA,INJE
151,DRIB,D-RIBOSE (500 MG),INJE
152,ECGX,ELETROCARDIOGRAMA,EXAM
153,ECO1,ECOCARDIOGRAMA TRANSTORACICO,EXAM
154,ECOC,ECOCARDIOGRAMA COM STRESS,EXAM
155,EDT1,EDTA SODICO (1500 MG),INJE
156,EDT2,EDTA SODICO (750 MG),INJE
157,EDTA,EDTA CALCICO (1500 MG),INJE
158,ELET,ELETROFORESE DE LIPOPROTEINAS,EXAM
159,ELFS,ELF SCORE,EXAM
160,ENDA,ENDOSCOPIA DIGESTIVA ALTA,EXAM
161,ENER,SORO PERFORMANCE ENERGETICO,ENDO
162,ESRS,ESTRADIOL SALIVAR,EXAM
163,ESTR,ESTRADIOL,EXAM
164,EXOS,"EXOSSOMAS (2,50%)",INJE
165,EXSY,EXSYNUTRIMENT (20 MG),INJE
166,FANX,FAN,EXAM
167,FAT1,FATOR ANTI- AGING (1%),INJE
168,FAT2,FATOR DE CRESCIMENTO E ALOPECIA (10 MG),INJE
169,FAT3,FATOR DE CRESCIMENTO HIPERCROMIA (1%),INJE
170,FATO,FATOR V LEIDEN E MUTACAO DA PROTROMBINA,EXAM
171,FERR,FERRITINA,EXAM
172,FESE,FERRO SERICO,EXAM
173,FIB4,FIB 4,EXAM
174,FIBR,FIBROTEST,EXAM
175,FOAL,FA,EXAM
176,FOCO,FORMULA FOCO E DESEMPENHO COGNITIVO,FORM
177,FRUT,FRUTOSAMINA,EXAM
178,FSHX,FSH,EXAM
179,FTA1,FTA ABS IGM,EXAM
180,FTAA,FTA ABS IGG,EXAM
181,FTOX,FTO,EXAM
182,FURO,FUROSEMIDA (10 MG),INJE
183,GABA,GABA (30 MG),INJE
184,GENO,GENOTIPAGEM APO E,EXAM
185,GEST,GESTRINONA PELLET,IMPL
186,GGTP,GAMA GT,EXAM
187,GLCA,GLUCONATO DE CALCIO (1 G),INJE
188,GLIC,L-GLICINA (75 MG),INJE
189,GLIJ,GLICEMIA DE JEJUM,EXAM
190,GLMN,ALANIL GLUTAMINA (1 G),INJE
191,HBA1,HEMOGLOBINA GLICADA,EXAM
192,HBSA,HBsAg,EXAM
193,HCGX,HCG PELLET,IMPL
194,HE4X,HE4,EXAM
195,HEMG,HEMOGRAMA,EXAM
196,HEPA,HEPARINA (2500 UI),INJE
197,HER1,HERPES SIMPLEX I II IGM,EXAM
198,HERP,HERPES SIMPLEX I II IGG,EXAM
199,HIDR,HIDROCORTISONA PELLET,IMPL
200,HIV1,HIV 1 E 2,EXAM
201,HMBX,HMB (HIDROXIMETILBUTIRATO) (50 MG),INJE
202,HMCS,HOMOCISTEINA,EXAM
203,HOLO,HOLOTRANSCIBALAMINA,EXAM
204,HOLT,HOLTER 24 HORAS,EXAM
205,HOMA,HOMA BETA,EXAM
206,HPVP,HPV POR PCR,EXAM
207,IMUN,SORO IMUNIDADE BASE,ENDO
208,INOS,INOSITOL (1 G),INJE
209,INSU,INSULINA,EXAM
210,INTE,FORMULA INTESTINO REPARACAO FASE 1,FORM
211,IOIM,IOIMBINA (4 MG),INJE
212,LARN,LARINGOSCOPIA,EXAM
213,LFEN,L-FENILALANINA (50 MG),INJE
214,LGLU,L-GLUTHATION (1 G),INJE
215,LHXX,LH,EXAM
216,LIDC,LIDOCAINA 1% (10 MG),INJE
217,LIPO,LIPOREDUCTYL -,INJE
218,LLIS,L-LISINA (300 MG),INJE
219,LORN,L-ORNITINA (300 MG),INJE
220,LPPA,LIPOPROTEINA A,EXAM
221,LPRO,L-PROLINA (500 MG),INJE
222,LTAU,L-TAURINA (150 MG),INJE
223,LTHE,L-THEANINA (50 MG),INJE
224,MAG1,RESSONANCIA MAGNETICA DE ARTICULACOES,EXAM
225,MAG10,RESSONANCIA MAGNETICA DE SELA TURCA,EXAM
226,MAG2,RESSONANCIA MAGNETICA DE COLUNA CERVICAL,EXAM
227,MAG3,RESSONANCIA MAGNETICA DE COLUNA LOMBAR,EXAM
228,MAG4,RESSONANCIA MAGNETICA DE COLUNA TORACICA,EXAM
229,MAG5,RESSONANCIA MAGNETICA DE CRANIO,EXAM
230,MAG6,RESSONANCIA MAGNETICA DE JOELHO,EXAM
231,MAG7,RESSONANCIA MAGNETICA DE MAMAS,EXAM
232,MAG8,RESSONANCIA MAGNETICA DE OMBRO,EXAM
233,MAG9,RESSONANCIA MAGNETICA DE PELVE,EXAM
234,MAGN,MAGNESIO SERICO,EXAM
235,MAM1,MAMOGRAFIA COM TOMOSSINTESE,EXAM
236,MAMO,MAMOGRAFIA BILATERAL,EXAM
237,MAPA,MAPA 24 HORAS,EXAM
238,MELA,MELATONINA PELLET,IMPL
239,MERC,MERCURIO,EXAM
240,MESC,MESCLA SOFT -,INJE
241,MESO,MESOGLICANO (60 MG),INJE
242,MET1,METFORMINA PELLET,IMPL
243,META,SORO METABOLICO EMAGRECIMENTO,ENDO
244,METF,METFORMINA + SITAGLIPTINA PELLET,IMPL
245,METI,L-METIONINA (100 MG),INJE
246,MINO,MINOXIDIL (10 MG),INJE
247,MITO,SORO MITOCONDRIAL LONGEVIDADE,ENDO
248,MOD1,FORMULA MODULACAO HORMONAL BASE,FORM
