CIRURGIAS (HISTORICO ANAMNESE V14.1): NOMENCLATURA UNIVERSAL V4.0,,,,,,,
#,CODIGO V4.0,NOME REAL,B1,B2,B3,B4 (NICK),SEQ
1,CIRU GAST COLE 001,COLECISTECTOMIA,CIRU,GAST,COLE,001,0001
2,CIRU ODON IMPL 001,IMPLANTE DENTARIO,CIRU,ODON,IMPL,001,0001
3,CIRU ENDO TIRE 001,TIREOIDECTOMIA TOTAL,CIRU,ENDO,TIRE,001,0001
